TITLE	prova_10
DATA TYPE	ULTRAVIOLET SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	21/04/27
TIME	17:52:33
SPECTROMETER/DATA SYSTEM	
RESOLUTION	
DELTAX	-1
XUNITS	NANOMETERS
YUNITS	TRANSMITTANCE
FIRSTX	  850.0000
LASTX	  250.0000
NPOINTS	     601
FIRSTY	    61.78018
MAXY	    63.97551
MINY	     0.00229
XYDATA
369.0000	22.9568
368.0000	17.4012
367.0000	12.429
366.0000	8.32282
365.0000	5.18243
364.0000	2.93957
363.0000	1.47672
362.0000	0.629784
361.0000	0.21859
360.0000	0.061707
359.0000	0.0169368
358.0000	0.0074802
357.0000	0.00548499
356.0000	0.00466272
355.0000	0.00419157
354.0000	0.0040301
353.0000	0.00360195
352.0000	0.00336489
351.0000	0.00347845
350.0000	0.00359178
349.0000	0.00339639
348.0000	0.00339463
347.0000	0.00343073
346.0000	0.00335241
345.0000	0.00311912
344.0000	0.00300213
343.0000	0.00288662
342.0000	0.00276785
341.0000	0.00269141
340.0000	0.00904206
339.0000	0.00896887
338.0000	0.00865375
337.0000	0.00829916
336.0000	0.00825899
335.0000	0.00786847
334.0000	0.00790592
333.0000	0.00763228
332.0000	0.0073959
331.0000	0.00724026
330.0000	0.00727514
329.0000	0.00731275
328.0000	0.00715854
327.0000	0.00703593
326.0000	0.00699653
325.0000	0.00687689
324.0000	0.00656596
323.0000	0.00629288
322.0000	0.00605497
321.0000	0.00589463
320.0000	0.00566177
319.0000	0.00550124
318.0000	0.00542246
317.0000	0.00522472
316.0000	0.00503008
315.0000	0.00479776
314.0000	0.00464339
313.0000	0.00456316
312.0000	0.0046411
311.0000	0.0044846
310.0000	0.00440808
309.0000	0.00425405
308.0000	0.00436507
307.0000	0.0042893
306.0000	0.00398046
305.0000	0.00390374
304.0000	0.00409439
303.0000	0.00401463
302.0000	0.00401417
301.0000	0.00401217
300.0000	0.00404701
299.0000	0.00400708
298.0000	0.0036613
297.0000	0.00354492
296.0000	0.00354409
295.0000	0.00327421
294.0000	0.00319717
293.0000	0.00319328
292.0000	0.00345859
291.0000	0.00345737
290.0000	0.00337662
289.0000	0.00333875
288.0000	0.00329912
287.0000	0.0032592
286.0000	0.00314609
285.0000	0.00302827
284.0000	0.00306657
283.0000	0.00291293
282.0000	0.00290963
281.0000	0.00283451
280.0000	0.00271812
279.0000	0.00271682
278.0000	0.00271634
277.0000	0.00271601
276.0000	0.00282796
275.0000	0.00282898
274.0000	0.00282538
273.0000	0.00286129
272.0000	0.00282468
271.0000	0.00274642
270.0000	0.00263297
269.0000	0.00259391
268.0000	0.00247964
267.0000	0.00244143
266.0000	0.0024049
265.0000	0.00228826
264.0000	0.00236561
263.0000	0.00232628
262.0000	0.00236169
261.0000	0.00240161
260.0000	0.00251043
259.0000	0.00255071
258.0000	0.00247637
257.0000	0.00258641
256.0000	0.00262752
255.0000	0.00262494
254.0000	0.00270027
253.0000	0.00273761
252.0000	0.00273752
251.0000	0.00277567
250.0000	0.00277463
