TITLE	12.1_H_10
DATA TYPE	ULTRAVIOLET SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	21/04/27
TIME	15:21:33
SPECTROMETER/DATA SYSTEM	
RESOLUTION	
DELTAX	-1
XUNITS	NANOMETERS
YUNITS	TRANSMITTANCE
FIRSTX	 1500.0000
LASTX	  200.0000
NPOINTS	    1301
FIRSTY	    53.57231
MAXY	    62.33471
MINY	    -0.00060
XYDATA
1034.0000	55.8995
1033.0000	55.9528
1032.0000	56.0546
1031.0000	56.2652
1030.0000	56.4828
1029.0000	56.73
1028.0000	57.041
1027.0000	57.3744
1026.0000	57.6827
1025.0000	57.969
1024.0000	58.3035
1023.0000	58.6003
1022.0000	58.9015
1021.0000	59.1459
1020.0000	59.3675
1019.0000	59.5445
1018.0000	59.6572
1017.0000	59.7322
1016.0000	59.7074
1015.0000	59.6066
1014.0000	59.5195
1013.0000	59.36
1012.0000	59.1374
1011.0000	58.8931
1010.0000	58.6077
1009.0000	58.2893
1008.0000	57.9213
1007.0000	57.5805
1006.0000	57.2236
1005.0000	56.8664
1004.0000	56.5207
1003.0000	56.2538
1002.0000	56.0102
1001.0000	55.752
1000.0000	55.6175
999.0000	55.5578
998.0000	55.5171
997.0000	55.5024
996.0000	55.5523
995.0000	55.7023
994.0000	55.9044
993.0000	56.1203
992.0000	56.3743
991.0000	56.6991
990.0000	57.0626
989.0000	57.3209
988.0000	57.6235
987.0000	57.9396
986.0000	58.1977
985.0000	58.4853
984.0000	58.6421
983.0000	58.8047
982.0000	58.9492
981.0000	59.0027
980.0000	58.9442
979.0000	58.8787
978.0000	58.726
977.0000	58.5045
976.0000	58.286
975.0000	57.9937
974.0000	57.6748
973.0000	57.3989
972.0000	57.0844
971.0000	56.7043
970.0000	56.3603
969.0000	56.0024
968.0000	55.7191
967.0000	55.4504
966.0000	55.3072
965.0000	55.1989
964.0000	55.0816
963.0000	55.0386
962.0000	55.054
961.0000	55.1574
960.0000	55.3082
959.0000	55.4948
958.0000	55.7504
957.0000	56.025
956.0000	56.358
955.0000	56.6035
954.0000	56.9592
953.0000	57.2776
952.0000	57.5577
951.0000	57.7809
950.0000	57.9274
949.0000	58.0917
948.0000	58.1309
947.0000	58.1377
946.0000	58.079
945.0000	57.9951
944.0000	57.8147
943.0000	57.5412
942.0000	57.2796
941.0000	57.0154
940.0000	56.6741
939.0000	56.3885
938.0000	55.9841
937.0000	55.6551
936.0000	55.4184
935.0000	55.168
934.0000	54.8908
933.0000	54.6514
932.0000	54.556
931.0000	54.4878
930.0000	54.5393
929.0000	54.5547
928.0000	54.6462
927.0000	54.9243
926.0000	55.2031
925.0000	55.4617
924.0000	55.747
923.0000	55.9582
922.0000	56.2394
921.0000	56.5816
920.0000	56.8287
919.0000	56.9778
918.0000	57.0772
917.0000	57.1862
916.0000	57.2963
915.0000	57.1788
914.0000	57.1234
913.0000	56.9797
912.0000	56.8246
911.0000	56.5468
910.0000	56.135
909.0000	55.9056
908.0000	55.6418
907.0000	55.2595
906.0000	54.9848
905.0000	54.6641
904.0000	54.3299
903.0000	54.1986
902.0000	54.1007
901.0000	53.9019
900.0000	52.4801
899.0000	51.6644
898.0000	51.2658
897.0000	50.632
896.0000	50.1272
895.0000	49.9612
894.0000	49.973
893.0000	50.1446
892.0000	50.6445
891.0000	51.1302
890.0000	51.708
889.0000	52.4812
888.0000	53.3465
887.0000	54.195
886.0000	55.0636
885.0000	55.873
884.0000	56.7391
883.0000	57.3749
882.0000	57.8068
881.0000	57.9364
880.0000	57.9251
879.0000	57.7426
878.0000	57.1563
877.0000	56.4995
876.0000	55.7109
875.0000	54.7278
874.0000	53.7437
873.0000	52.7627
872.0000	51.7363
871.0000	50.8285
870.0000	50.0213
869.0000	49.4378
868.0000	48.9908
867.0000	48.7362
866.0000	48.7142
865.0000	48.8873
864.0000	49.2141
863.0000	49.7707
862.0000	50.4676
861.0000	51.2812
860.0000	52.2087
859.0000	53.2504
858.0000	54.2436
857.0000	55.2103
856.0000	56.0491
855.0000	56.6878
854.0000	57.0994
853.0000	57.2818
852.0000	57.1926
851.0000	56.7826
850.0000	56.1755
849.0000	55.3582
848.0000	54.3674
847.0000	53.3071
846.0000	52.217
845.0000	51.1727
844.0000	50.191
843.0000	49.381
842.0000	48.7508
841.0000	48.3097
840.0000	48.0982
839.0000	48.1309
838.0000	48.4067
837.0000	48.9026
836.0000	49.6166
835.0000	50.4984
834.0000	51.5209
833.0000	52.6119
832.0000	53.7337
831.0000	54.7979
830.0000	55.702
829.0000	56.4507
828.0000	56.9425
827.0000	57.0911
826.0000	56.9619
825.0000	56.5086
824.0000	55.7635
823.0000	54.8164
822.0000	53.7318
821.0000	52.5562
820.0000	51.3491
819.0000	50.2471
818.0000	49.2989
817.0000	48.5168
816.0000	47.9885
815.0000	47.7167
814.0000	47.7376
813.0000	48.0259
812.0000	48.5856
811.0000	49.3592
810.0000	50.3439
809.0000	51.4601
808.0000	52.6578
807.0000	53.8553
806.0000	54.9644
805.0000	55.8812
804.0000	56.543
803.0000	56.8638
802.0000	56.8004
801.0000	56.3917
800.0000	55.645
799.0000	54.6274
798.0000	53.441
797.0000	52.2033
796.0000	50.9698
795.0000	49.8402
794.0000	48.8884
793.0000	48.1866
792.0000	47.7697
791.0000	47.6538
790.0000	47.8533
789.0000	48.3721
788.0000	49.1824
787.0000	50.1818
786.0000	51.3558
785.0000	52.6188
784.0000	53.8641
783.0000	55.0084
782.0000	55.9291
781.0000	56.5663
780.0000	56.7931
779.0000	56.6395
778.0000	56.112
777.0000	55.2282
776.0000	54.111
775.0000	52.8615
774.0000	51.5723
773.0000	50.3587
772.0000	49.3256
771.0000	48.5323
770.0000	48.0411
769.0000	47.8784
768.0000	48.0558
767.0000	48.5623
766.0000	49.3733
765.0000	50.4608
764.0000	51.7326
763.0000	53.0671
762.0000	54.3775
761.0000	55.5468
760.0000	56.4234
759.0000	56.9198
758.0000	56.9739
757.0000	56.6118
756.0000	55.8397
755.0000	54.7721
754.0000	53.5036
753.0000	52.1685
752.0000	50.903
751.0000	49.8171
750.0000	48.9979
749.0000	48.5202
748.0000	48.4237
747.0000	48.6968
746.0000	49.3608
745.0000	50.3304
744.0000	51.5643
743.0000	52.963
742.0000	54.3533
741.0000	55.6207
740.0000	56.5439
739.0000	57.1514
738.0000	57.3233
737.0000	57.0028
736.0000	56.2322
735.0000	55.1495
734.0000	53.8853
