TITLE	12.1_NP_0
DATA TYPE	ULTRAVIOLET SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	21/05/03
TIME	16:19:54
SPECTROMETER/DATA SYSTEM	
RESOLUTION	
DELTAX	-0.1
XUNITS	NANOMETERS
YUNITS	TRANSMITTANCE
FIRSTX	  850.0000
LASTX	  250.0000
NPOINTS	    6001
FIRSTY	    77.93438
MAXY	    81.61069
MINY	     0.00037
XYDATA
765.3000	72.9356
765.2000	73.1174
765.1000	73.2997
765.0000	73.4808
764.9000	73.6656
764.8000	73.8473
764.7000	74.0258
764.6000	74.211
764.5000	74.3891
764.4000	74.5754
764.3000	74.759
764.2000	74.9405
764.1000	75.1138
764.0000	75.2944
763.9000	75.4729
763.8000	75.6476
763.7000	75.8162
763.6000	75.9914
763.5000	76.1632
763.4000	76.3266
763.3000	76.4945
763.2000	76.6598
763.1000	76.8237
763.0000	76.9799
762.9000	77.1376
762.8000	77.2911
762.7000	77.4424
762.6000	77.5894
762.5000	77.7379
762.4000	77.8789
762.3000	78.0156
762.2000	78.1464
762.1000	78.2769
762.0000	78.3992
761.9000	78.5217
761.8000	78.6422
761.7000	78.7472
761.6000	78.8535
761.5000	78.9613
761.4000	79.0541
761.3000	79.1492
761.2000	79.2325
761.1000	79.3091
761.0000	79.3856
760.9000	79.4508
760.8000	79.5136
760.7000	79.5768
760.6000	79.6315
760.5000	79.6769
760.4000	79.7136
760.3000	79.751
760.2000	79.7764
760.1000	79.8018
760.0000	79.8177
759.9000	79.8262
759.8000	79.8392
759.7000	79.8355
759.6000	79.826
759.5000	79.8164
759.4000	79.7967
759.3000	79.7727
759.2000	79.7385
759.1000	79.6934
759.0000	79.6524
758.9000	79.6093
758.8000	79.561
758.7000	79.4975
758.6000	79.4306
758.5000	79.3581
758.4000	79.2808
758.3000	79.1958
758.2000	79.1009
758.1000	79.0078
758.0000	78.9087
757.9000	78.8025
757.8000	78.6893
757.7000	78.5724
757.6000	78.4597
757.5000	78.344
757.4000	78.2112
757.3000	78.0728
757.2000	77.9346
757.1000	77.7945
757.0000	77.6504
756.9000	77.506
756.8000	77.3524
756.7000	77.2026
756.6000	77.0499
756.5000	76.8894
756.4000	76.7342
756.3000	76.5707
756.2000	76.4083
756.1000	76.2415
756.0000	76.0647
755.9000	75.8872
755.8000	75.7102
755.7000	75.5349
755.6000	75.3556
755.5000	75.1741
755.4000	74.9917
755.3000	74.8107
755.2000	74.6332
755.1000	74.4438
755.0000	74.2587
754.9000	74.0785
754.8000	73.89
754.7000	73.7072
754.6000	73.5208
754.5000	73.3394
754.4000	73.157
754.3000	72.9722
754.2000	72.7928
754.1000	72.6144
754.0000	72.436
753.9000	72.2591
753.8000	72.0889
753.7000	71.9142
753.6000	71.7398
753.5000	71.575
753.4000	71.4085
753.3000	71.2428
753.2000	71.0805
753.1000	70.9224
753.0000	70.7695
752.9000	70.6169
752.8000	70.4698
752.7000	70.3254
752.6000	70.1869
752.5000	70.0439
752.4000	69.9092
752.3000	69.7776
752.2000	69.6478
752.1000	69.5234
752.0000	69.4048
751.9000	69.2892
751.8000	69.182
751.7000	69.0699
751.6000	68.9689
751.5000	68.8696
751.4000	68.7715
751.3000	68.6832
751.2000	68.6015
751.1000	68.5277
751.0000	68.4529
750.9000	68.3885
750.8000	68.3217
750.7000	68.2658
750.6000	68.2116
750.5000	68.1612
750.4000	68.1154
750.3000	68.071
750.2000	68.0315
750.1000	68.0072
750.0000	67.9821
749.9000	67.9658
749.8000	67.9531
749.7000	67.9434
749.6000	67.9358
749.5000	67.9328
749.4000	67.9381
749.3000	67.9471
749.2000	67.968
749.1000	67.9866
749.0000	68.0155
748.9000	68.0475
748.8000	68.0857
748.7000	68.1345
748.6000	68.1831
748.5000	68.231
748.4000	68.2945
748.3000	68.3499
748.2000	68.4197
748.1000	68.4937
748.0000	68.5739
747.9000	68.6584
747.8000	68.7469
747.7000	68.8417
747.6000	68.9387
747.5000	69.0449
747.4000	69.1492
747.3000	69.2646
747.2000	69.3816
747.1000	69.498
747.0000	69.6227
746.9000	69.7553
746.8000	69.8812
746.7000	70.0202
746.6000	70.1632
746.5000	70.3098
746.4000	70.4561
746.3000	70.6128
746.2000	70.7666
746.1000	70.9251
746.0000	71.0862
745.9000	71.2521
745.8000	71.4178
745.7000	71.5838
745.6000	71.7573
745.5000	71.9347
745.4000	72.115
745.3000	72.2949
745.2000	72.4788
745.1000	72.6643
745.0000	72.8515
744.9000	73.0361
744.8000	73.2275
744.7000	73.4141
744.6000	73.6064
744.5000	73.797
744.4000	73.9881
744.3000	74.1777
744.2000	74.3731
744.1000	74.5698
744.0000	74.7622
743.9000	74.9522
743.8000	75.1387
743.7000	75.3251
743.6000	75.5128
743.5000	75.6973
743.4000	75.8809
743.3000	76.071
743.2000	76.2504
743.1000	76.4244
743.0000	76.6017
742.9000	76.7728
742.8000	76.9466
742.7000	77.1144
742.6000	77.2811
742.5000	77.4423
742.4000	77.5977
742.3000	77.7525
742.2000	77.9049
742.1000	78.0571
742.0000	78.2005
741.9000	78.3478
741.8000	78.4809
741.7000	78.6057
741.6000	78.7289
741.5000	78.8557
741.4000	78.9716
741.3000	79.0818
741.2000	79.1876
741.1000	79.286
741.0000	79.3776
740.9000	79.4616
740.8000	79.5448
740.7000	79.6228
740.6000	79.6935
740.5000	79.755
740.4000	79.8182
740.3000	79.8671
740.2000	79.9111
740.1000	79.946
740.0000	79.9261
739.9000	79.9528
739.8000	79.9679
739.7000	79.9818
739.6000	79.9854
739.5000	79.9817
739.4000	79.9782
739.3000	79.9663
739.2000	79.9451
739.1000	79.9131
739.0000	79.8805
738.9000	79.8372
738.8000	79.7904
738.7000	79.7344
738.6000	79.6775
738.5000	79.6126
738.4000	79.5428
738.3000	79.462
738.2000	79.3776
738.1000	79.2842
738.0000	79.1915
737.9000	79.0906
737.8000	78.983
737.7000	78.8727
737.6000	78.7589
737.5000	78.6431
737.4000	78.5167
737.3000	78.3876
737.2000	78.2562
737.1000	78.1197
737.0000	77.9797
736.9000	77.8331
736.8000	77.6826
736.7000	77.5281
736.6000	77.374
736.5000	77.216
736.4000	77.0545
736.3000	76.8888
736.2000	76.7187
736.1000	76.5501
736.0000	76.3737
735.9000	76.1938
735.8000	76.0146
735.7000	75.8384
735.6000	75.6547
735.5000	75.4705
735.4000	75.2804
735.3000	75.1013
735.2000	74.9152
735.1000	74.7331
735.0000	74.5496
734.9000	74.3637
734.8000	74.1771
734.7000	73.9915
734.6000	73.8105
734.5000	73.6267
734.4000	73.4471
734.3000	73.2686
734.2000	73.0909
734.1000	72.9145
734.0000	72.7375
733.9000	72.5651
733.8000	72.3971
733.7000	72.2248
733.6000	72.0591
733.5000	71.8929
