TITLE	p-GaN-NP
DATA TYPE	ULTRAVIOLET SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	21/05/03
TIME	16:56:37
SPECTROMETER/DATA SYSTEM	
RESOLUTION	
DELTAX	-0.1
XUNITS	NANOMETERS
YUNITS	TRANSMITTANCE
FIRSTX	  850.0000
LASTX	  250.0000
NPOINTS	    6001
FIRSTY	    76.30771
MAXY	    79.46679
MINY	     0.00225
XYDATA
781.6000	77.7254
781.5000	77.8249
781.4000	77.9227
781.3000	78.023
781.2000	78.1195
781.1000	78.2025
781.0000	78.2875
780.9000	78.3654
780.8000	78.4487
780.7000	78.5253
780.6000	78.6083
780.5000	78.6744
780.4000	78.7398
780.3000	78.8045
780.2000	78.8631
780.1000	78.9159
780.0000	78.9698
779.9000	79.0179
779.8000	79.0579
779.7000	79.0999
779.6000	79.1356
779.5000	79.169
779.4000	79.2001
779.3000	79.2346
779.2000	79.262
779.1000	79.2866
779.0000	79.305
778.9000	79.3195
778.8000	79.3361
778.7000	79.3432
778.6000	79.3484
778.5000	79.355
778.4000	79.3533
778.3000	79.3459
778.2000	79.3335
778.1000	79.3181
778.0000	79.2978
777.9000	79.2816
777.8000	79.2537
777.7000	79.2221
777.6000	79.1859
777.5000	79.149
777.4000	79.1029
777.3000	79.0579
777.2000	79.0061
777.1000	78.9554
777.0000	78.8983
776.9000	78.8375
776.8000	78.7744
776.7000	78.7088
776.6000	78.6469
776.5000	78.574
776.4000	78.5052
776.3000	78.4275
776.2000	78.3525
776.1000	78.2688
776.0000	78.1792
775.9000	78.0935
775.8000	78.0025
775.7000	77.9072
775.6000	77.8091
775.5000	77.715
775.4000	77.612
775.3000	77.5096
775.2000	77.4044
775.1000	77.2939
775.0000	77.1889
774.9000	77.0795
774.8000	76.9659
774.7000	76.845
774.6000	76.7233
774.5000	76.6039
774.4000	76.4832
774.3000	76.3524
774.2000	76.2335
774.1000	76.1136
774.0000	75.9904
773.9000	75.8577
773.8000	75.7349
773.7000	75.6062
773.6000	75.4816
773.5000	75.3607
773.4000	75.2317
773.3000	75.102
773.2000	74.9717
773.1000	74.8439
773.0000	74.7252
772.9000	74.5986
772.8000	74.4805
772.7000	74.3535
772.6000	74.227
772.5000	74.1008
772.4000	73.9751
772.3000	73.8502
772.2000	73.7225
772.1000	73.6019
772.0000	73.4807
771.9000	73.3547
771.8000	73.2283
771.7000	73.1042
771.6000	72.9836
771.5000	72.8694
771.4000	72.7466
771.3000	72.6331
771.2000	72.5151
771.1000	72.4043
771.0000	72.2835
770.9000	72.1643
770.8000	72.055
770.7000	71.9492
770.6000	71.8415
770.5000	71.737
770.4000	71.6296
770.3000	71.5179
770.2000	71.4192
770.1000	71.3226
770.0000	71.2246
769.9000	71.1346
769.8000	71.0411
769.7000	70.9512
769.6000	70.8646
