TITLE	p-GaN_NP_0
DATA TYPE	ULTRAVIOLET SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	21/05/03
TIME	16:27:08
SPECTROMETER/DATA SYSTEM	
RESOLUTION	
DELTAX	-0.1
XUNITS	NANOMETERS
YUNITS	TRANSMITTANCE
FIRSTX	  850.0000
LASTX	  250.0000
NPOINTS	    6001
FIRSTY	    75.27925
MAXY	    79.98762
MINY	     0.00049
XYDATA
778.8000	79.7562
778.7000	79.7456
778.6000	79.7295
778.5000	79.7107
778.4000	79.6923
778.3000	79.6633
778.2000	79.6371
778.1000	79.6105
778.0000	79.5796
777.9000	79.5433
777.8000	79.4957
777.7000	79.4529
777.6000	79.4004
777.5000	79.3401
777.4000	79.2804
777.3000	79.217
777.2000	79.155
777.1000	79.0851
777.0000	79.0147
776.9000	78.9452
776.8000	78.8763
776.7000	78.8009
776.6000	78.7225
776.5000	78.6323
776.4000	78.5468
776.3000	78.4561
776.2000	78.3576
776.1000	78.2629
776.0000	78.1679
775.9000	78.0677
775.8000	77.9642
775.7000	77.8643
775.6000	77.7561
775.5000	77.6508
775.4000	77.5446
775.3000	77.4307
775.2000	77.3121
775.1000	77.1984
775.0000	77.0751
774.9000	76.9601
774.8000	76.8334
774.7000	76.7053
774.6000	76.5822
774.5000	76.4547
774.4000	76.331
774.3000	76.199
774.2000	76.0678
774.1000	75.9361
774.0000	75.817
773.9000	75.6833
773.8000	75.5476
773.7000	75.4218
773.6000	75.288
773.5000	75.1537
773.4000	75.0237
773.3000	74.8901
773.2000	74.7611
773.1000	74.6316
773.0000	74.5051
772.9000	74.3713
772.8000	74.2413
772.7000	74.1184
772.6000	73.994
772.5000	73.8673
772.4000	73.7326
772.3000	73.6034
772.2000	73.4744
772.1000	73.3425
772.0000	73.2194
771.9000	73.0967
771.8000	72.9791
771.7000	72.8567
771.6000	72.7393
771.5000	72.6283
771.4000	72.5085
771.3000	72.4007
771.2000	72.2864
771.1000	72.1793
771.0000	72.0712
770.9000	71.968
770.8000	71.8658
770.7000	71.7683
770.6000	71.6747
770.5000	71.5846
770.4000	71.4921
770.3000	71.4055
770.2000	71.3135
770.1000	71.23
770.0000	71.1439
769.9000	71.0613
769.8000	70.9942
769.7000	70.9202
769.6000	70.8522
769.5000	70.7837
769.4000	70.7196
769.3000	70.6595
769.2000	70.597
769.1000	70.5434
769.0000	70.4993
768.9000	70.4453
768.8000	70.4036
768.7000	70.3598
768.6000	70.3215
768.5000	70.2896
768.4000	70.2612
768.3000	70.236
768.2000	70.2061
768.1000	70.1854
768.0000	70.1673
767.9000	70.151
767.8000	70.1452
767.7000	70.1357
767.6000	70.1349
767.5000	70.1372
767.4000	70.1347
767.3000	70.1456
767.2000	70.1545
767.1000	70.1665
767.0000	70.1876
766.9000	70.208
766.8000	70.229
766.7000	70.2505
766.6000	70.285
766.5000	70.3205
766.4000	70.3598
766.3000	70.4017
766.2000	70.441
766.1000	70.4896
766.0000	70.5396
765.9000	70.5894
765.8000	70.647
765.7000	70.7099
765.6000	70.7758
765.5000	70.8456
765.4000	70.9159
765.3000	70.9916
765.2000	71.0704
765.1000	71.1526
765.0000	71.2314
764.9000	71.3167
764.8000	71.403
764.7000	71.4922
764.6000	71.5867
764.5000	71.6814
764.4000	71.7863
764.3000	71.899
764.2000	72.0031
764.1000	72.1028
764.0000	72.2069
763.9000	72.3138
763.8000	72.4228
763.7000	72.5326
763.6000	72.6468
763.5000	72.7682
763.4000	72.8876
763.3000	73.0065
763.2000	73.1251
763.1000	73.2483
