TITLE	p-GaN
DATA TYPE	ULTRAVIOLET SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	21/05/05
TIME	12:05:40
SPECTROMETER/DATA SYSTEM	
RESOLUTION	
DELTAX	-1
XUNITS	NANOMETERS
YUNITS	TRANSMITTANCE
FIRSTX	  850.0000
LASTX	  250.0000
NPOINTS	     601
FIRSTY	    71.84466
MAXY	    80.26244
MINY	    -0.14054
XYDATA
346.0000	0.0861818
345.0000	0.0774219
344.0000	0.0564146
343.0000	0.0734515
342.0000	0.0815042
341.0000	0.055978
340.0000	0.0800093
339.0000	0.0236511
338.0000	-0.0311602
337.0000	-0.0412406
336.0000	0.0414599
335.0000	0.0621741
334.0000	0.0171675
333.0000	0.0894581
332.0000	0.206948
331.0000	0.157763
330.0000	0.208172
329.0000	0.0893869
328.0000	0.0592719
327.0000	0.0778582
326.0000	0.0802313
325.0000	0.0609203
324.0000	0.156557
323.0000	0.0902344
322.0000	0.148467
321.0000	0.21419
320.0000	0.227501
319.0000	0.199262
318.0000	0.13484
317.0000	0.0814191
316.0000	0.103028
315.0000	-0.0409338
314.0000	-0.00629109
313.0000	0.0202612
312.0000	-0.0117004
311.0000	0.0533989
310.0000	0.0583041
309.0000	0.0363614
308.0000	0.0802427
307.0000	-0.0447056
306.0000	0.00286189
305.0000	-0.00667191
304.0000	-0.11175
303.0000	-0.0261924
302.0000	-0.0808797
301.0000	0.024841
300.0000	-0.140544
299.0000	0.019849
298.0000	0.0251636
297.0000	0.0422279
296.0000	0.108006
295.0000	0.0626894
294.0000	0.145923
293.0000	0.137733
292.0000	0.119301
291.0000	0.117668
290.0000	0.0748546
289.0000	0.161815
288.0000	0.0609967
287.0000	0.0404947
286.0000	0.0228795
285.0000	0.0569999
284.0000	0.00171715
283.0000	-0.0339994
282.0000	0.0525479
281.0000	0.0576321
280.0000	0.102216
279.0000	0.083083
278.0000	0.0841642
277.0000	0.0587059
276.0000	-0.0120981
275.0000	-0.0664698
274.0000	-0.0565388
273.0000	-0.0634317
272.0000	-0.01393
271.0000	-0.0409816
270.0000	0.005122
269.0000	0.0922676
268.0000	0.0932037
267.0000	0.0538134
266.0000	0.0491397
265.0000	0.0804291
264.0000	0.0145368
263.0000	0.0266115
262.0000	0.0839642
261.0000	0.0647536
260.0000	0.0641118
259.0000	0.0256238
258.0000	0.0162421
257.0000	-0.0287758
256.0000	-0.0171186
255.0000	-0.0572036
254.0000	-0.044287
253.0000	-0.0334532
252.0000	0.0383562
251.0000	0.0769386
250.0000	0.021851
