TITLE	p-GaN
DATA TYPE	ULTRAVIOLET SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	21/05/05
TIME	17:52:36
SPECTROMETER/DATA SYSTEM	
RESOLUTION	
DELTAX	-0.1
XUNITS	NANOMETERS
YUNITS	TRANSMITTANCE
FIRSTX	  850.0000
LASTX	  300.0000
NPOINTS	    5501
FIRSTY	    77.49433
MAXY	    77.74112
MINY	     0.11690
XYDATA
790.1000	75.2932
790.0000	75.1647
789.9000	75.18
789.8000	75.0731
789.7000	75.0004
789.6000	74.9957
789.5000	74.9907
789.4000	74.9799
789.3000	75.1298
789.2000	75.1686
789.1000	75.0548
789.0000	75.1364
788.9000	75.104
788.8000	75.1552
788.7000	74.9794
788.6000	74.9683
788.5000	75.0964
788.4000	75.099
788.3000	75.0357
788.2000	75.0375
788.1000	74.9086
788.0000	74.8716
787.9000	74.901
787.8000	74.7322
787.7000	74.6299
787.6000	74.5613
787.5000	74.5214
787.4000	74.5245
787.3000	74.4481
787.2000	74.3572
787.1000	74.4119
787.0000	74.4292
786.9000	74.4336
786.8000	74.3849
786.7000	74.3769
786.6000	74.3582
786.5000	74.4722
786.4000	74.4897
786.3000	74.5013
786.2000	74.6095
786.1000	74.5897
786.0000	74.5542
785.9000	74.5933
785.8000	74.5494
785.7000	74.6229
785.6000	74.6748
785.5000	74.6776
785.4000	74.729
785.3000	74.6532
785.2000	74.6901
785.1000	74.6817
785.0000	74.7067
784.9000	74.7538
784.8000	74.787
784.7000	74.6634
784.6000	74.6329
784.5000	74.5698
784.4000	74.5663
784.3000	74.5527
784.2000	74.5768
784.1000	74.5142
784.0000	74.5244
783.9000	74.5469
783.8000	74.4678
783.7000	74.4712
783.6000	74.4836
783.5000	74.5256
783.4000	74.5049
783.3000	74.5101
783.2000	74.5225
783.1000	74.671
783.0000	74.735
782.9000	74.8304
782.8000	74.8942
782.7000	74.9775
782.6000	75.0229
782.5000	75.0355
782.4000	75.0336
782.3000	75.064
782.2000	75.1656
782.1000	75.1598
782.0000	75.2907
781.9000	75.2916
781.8000	75.3675
781.7000	75.3174
781.6000	75.3216
781.5000	75.2672
781.4000	75.2753
781.3000	75.3486
781.2000	75.4285
781.1000	75.4545
781.0000	75.4995
780.9000	75.6026
780.8000	75.7178
780.7000	75.7831
780.6000	75.8417
780.5000	75.8321
780.4000	75.7636
780.3000	75.7305
780.2000	75.8214
780.1000	75.8863
780.0000	75.8915
779.9000	75.9966
779.8000	76.1442
779.7000	76.003
779.6000	75.9641
779.5000	76.087
779.4000	76.1056
779.3000	76.0862
779.2000	76.0013
779.1000	76.0473
779.0000	76.0596
778.9000	76.058
778.8000	76.0317
778.7000	76.2759
778.6000	76.2834
778.5000	76.2534
778.4000	76.3212
778.3000	76.4798
778.2000	76.5481
778.1000	76.6643
778.0000	76.6483
777.9000	76.7178
777.8000	76.8124
777.7000	76.7556
777.6000	76.7924
777.5000	76.9596
777.4000	77.0258
777.3000	76.9902
777.2000	76.975
777.1000	77.0329
777.0000	77.1317
776.9000	77.0908
776.8000	77.1177
776.7000	77.1981
776.6000	77.066
776.5000	76.9678
776.4000	76.9973
776.3000	77.0613
776.2000	76.9416
776.1000	76.8848
776.0000	76.9772
775.9000	76.9376
775.8000	76.7698
775.7000	76.6948
775.6000	76.8871
775.5000	76.9705
775.4000	76.8551
775.3000	76.8568
775.2000	76.9637
775.1000	77.0666
775.0000	77.1089
774.9000	77.0339
774.8000	77.071
774.7000	77.151
774.6000	77.2056
774.5000	77.2571
774.4000	77.3194
774.3000	77.3647
774.2000	77.4822
774.1000	77.564
774.0000	77.5876
773.9000	77.4643
773.8000	77.4524
773.7000	77.394
773.6000	77.4831
773.5000	77.3055
773.4000	77.25
773.3000	77.3786
773.2000	77.4182
773.1000	77.2924
773.0000	77.2943
772.9000	77.2572
772.8000	77.2135
772.7000	77.1186
772.6000	77.0159
772.5000	77.1364
772.4000	77.1251
772.3000	77.1288
772.2000	77.1181
772.1000	77.249
772.0000	77.1394
771.9000	77.1438
771.8000	77.0601
771.7000	77.1919
771.6000	77.2308
771.5000	77.1805
771.4000	77.1129
771.3000	77.1726
771.2000	77.2363
771.1000	77.1172
771.0000	77.0555
770.9000	77.0367
770.8000	77.007
770.7000	76.89
770.6000	76.9018
770.5000	76.8511
770.4000	76.7658
770.3000	76.6357
770.2000	76.6852
770.1000	76.5771
770.0000	76.4565
769.9000	76.4416
769.8000	76.4885
769.7000	76.4204
769.6000	76.2053
769.5000	76.1563
769.4000	76.3034
769.3000	76.139
769.2000	75.9791
769.1000	76.0617
769.0000	76.1972
768.9000	76.1041
768.8000	76.0399
768.7000	76.2179
768.6000	76.1376
768.5000	75.9613
768.4000	75.9122
768.3000	75.9602
768.2000	75.9287
768.1000	75.8237
768.0000	75.724
767.9000	75.8994
767.8000	75.8595
767.7000	75.7513
767.6000	75.8409
767.5000	75.9682
767.4000	75.7944
767.3000	75.7196
767.2000	75.7509
767.1000	75.7316
767.0000	75.7153
766.9000	75.702
766.8000	75.7179
766.7000	75.7845
766.6000	75.6955
766.5000	75.5555
766.4000	75.7414
766.3000	75.7371
766.2000	75.595
766.1000	75.5966
766.0000	75.6101
765.9000	75.4926
765.8000	75.375
765.7000	75.4027
765.6000	75.5341
765.5000	75.5056
765.4000	75.383
765.3000	75.4807
765.2000	75.5735
765.1000	75.4106
765.0000	75.2971
764.9000	75.5333
764.8000	75.6213
764.7000	75.4687
764.6000	75.3126
764.5000	75.4762
764.4000	75.505
764.3000	75.3257
764.2000	75.2971
764.1000	75.343
764.0000	75.2244
763.9000	75.0277
763.8000	75.1191
763.7000	75.1987
763.6000	75.0925
763.5000	74.9341
763.4000	75.025
763.3000	75.0469
763.2000	74.8748
763.1000	74.7608
763.0000	75.0044
762.9000	75.0102
762.8000	74.7538
762.7000	74.7255
762.6000	74.8867
762.5000	74.9408
762.4000	74.7787
762.3000	74.843
762.2000	74.9793
762.1000	74.7973
762.0000	74.7132
761.9000	74.9256
761.8000	75.1093
761.7000	74.8555
761.6000	74.7122
761.5000	74.9079
761.4000	74.9526
761.3000	74.6891
761.2000	74.7339
761.1000	74.969
761.0000	74.9374
760.9000	74.692
760.8000	74.7655
760.7000	74.8667
760.6000	74.8676
760.5000	74.7846
760.4000	74.8401
760.3000	74.903
760.2000	74.7113
760.1000	74.7104
760.0000	75.0123
759.9000	75.1377
759.8000	74.9194
759.7000	75.0677
759.6000	75.3157
759.5000	75.1649
759.4000	75.0695
759.3000	75.2075
759.2000	75.3907
759.1000	75.4481
759.0000	75.2569
758.9000	75.4811
758.8000	75.5747
758.7000	75.4298
758.6000	75.4394
758.5000	75.7313
758.4000	75.6703
758.3000	75.3891
758.2000	75.5057
758.1000	75.6861
758.0000	75.5875
757.9000	75.6048
757.8000	75.724
757.7000	75.9462
757.6000	75.8247
757.5000	75.7134
757.4000	75.9988
757.3000	75.9728
757.2000	75.8691
757.1000	75.9977
757.0000	76.2152
756.9000	76.1708
756.8000	76.0271
756.7000	76.2432
756.6000	76.3905
756.5000	76.2765
756.4000	76.2462
756.3000	76.4089
756.2000	76.4556
756.1000	76.2633
756.0000	76.3299
755.9000	76.5342
755.8000	76.4488
755.7000	76.3843
755.6000	76.5055
755.5000	76.5672
755.4000	76.4057
755.3000	76.306
755.2000	76.5681
755.1000	76.6617
755.0000	76.5475
754.9000	76.6594
754.8000	76.822
754.7000	76.8151
754.6000	76.6849
754.5000	76.8384
754.4000	76.9391
754.3000	76.7983
754.2000	76.7569
754.1000	76.943
754.0000	76.9544
